file,page,context
2018-12-12__-3859762491865917202__RE_ Voicemail Message.msg.pdf,35,noic 0.60 N.D. Pfds-Perfluorodecanesulfonate 0.40 N.D. Pfhpa-Perfluoroheptanoic Acid 0.40 N.D. Pfhps-Perfluoroheptanesulfonat 0.40 N.D. Pfhxa-Perfluorohexanoic Acid 0.40 N.D. Pfhxs-Perfluorohexanesulfonate 0.40 N.D. Pfna-Perfluorononanoic Acid 0.30 N.D. Pfoa-Perfluorooctanoic Acid 0.50 N.D. Pfosa-Perfluorooctanesulfonami 0.40 N.D. Pfos-Perfluorooctanesulfonate 2.0 N.D. Pfpea-Perfluoropentanoic Acid 0.40 N.D. Pfpes-Perfluoropentanesulfonat 0.30 N.D. Pfteda-Perfluorotetradecanoic 0.40 N.D. Pftrda-Perfluorotridecanoic Ac 0.40 N.D. Pfunda-Perfluoroundecanoic Aci LCS/LCSD RPD Max LCS/LCSD Limits LCSD %REC LCS %REC LCSD Conc LCSD Spike Added LCS Conc LCS Spike Added RPD Analysis Name ng/l ng/l ng/l ng/l Batch number: 18321001 Sample number(s): 9903361-9903363 30 4 82-152
2018-12-12__-3859762491865917202__RE_ Voicemail Message.msg.pdf,35,ate 0.40 N.D. Pfhpa-Perfluoroheptanoic Acid 0.40 N.D. Pfhps-Perfluoroheptanesulfonat 0.40 N.D. Pfhxa-Perfluorohexanoic Acid 0.40 N.D. Pfhxs-Perfluorohexanesulfonate 0.40 N.D. Pfna-Perfluorononanoic Acid 0.30 N.D. Pfoa-Perfluorooctanoic Acid 0.50 N.D. Pfosa-Perfluorooctanesulfonami 0.40 N.D. Pfos-Perfluorooctanesulfonate 2.0 N.D. Pfpea-Perfluoropentanoic Acid 0.40 N.D. Pfpes-Perfluoropentanesulfonat 0.30 N.D. Pfteda-Perfluorotetradecanoic 0.40 N.D. Pftrda-Perfluorotridecanoic Ac 0.40 N.D. Pfunda-Perfluoroundecanoic Aci LCS/LCSD RPD Max LCS/LCSD Limits LCSD %REC LCS %REC LCSD Conc LCSD Spike Added LCS Conc LCS Spike Added RPD Analysis Name ng/l ng/l ng/l ng/l Batch number: 18321001 Sample number(s): 9903361-9903363 30 4 82-152 89 86 13.35 14.94 12.84 14.94 4:2 fluorot
2018-12-12__-3859762491865917202__RE_ Voicemail Message.msg.pdf,36,2 99 5.01 5.44 5.40 5.44 Pfhxa-Perfluorohexanoic Acid 30 4 71-131 100 95 5.12 5.14 4.91 5.14 Pfhxs-Perfluorohexanesulfonate 30 2 72-148 91 89 4.94 5.44 4.84 5.44 Pfna-Perfluorononanoic Acid 30 3 72-138 103 106 5.58 5.44 5.75 5.44 Pfoa-Perfluorooctanoic Acid 30 1 65-164 85 85 4.65 5.44 4.60 5.44 Pfosa-Perfluorooctanesulfonami 30 11 67-138 98 87 5.08 5.20 4.54 5.20 Pfos-Perfluorooctanesulfonate 30 11 74-134 89 99 4.83 5.44 5.39 5.44 Pfpea-Perfluoropentanoic Acid 30 1 76-127 100 100 5.09 5.10 5.12 5.10 Pfpes-Perfluoropentanesulfonat 30 2 74-135 98 101 5.34 5.44 5.48 5.44 Pfteda-Perfluorotetradecanoic 30 1 61-145 104 104 5.63 5.44 5.68 5.44 Pftrda-Perfluorotridecanoic Ac 30 18 75-146 98 82 5.34 5.44 4.44 5.44 Pfunda-Perfluoroundecanoic Aci Labeled Isotope Quality Control Labeled isotop
2018-12-12__-3859762491865917202__RE_ Voicemail Message.msg.pdf,36,95 5.12 5.14 4.91 5.14 Pfhxs-Perfluorohexanesulfonate 30 2 72-148 91 89 4.94 5.44 4.84 5.44 Pfna-Perfluorononanoic Acid 30 3 72-138 103 106 5.58 5.44 5.75 5.44 Pfoa-Perfluorooctanoic Acid 30 1 65-164 85 85 4.65 5.44 4.60 5.44 Pfosa-Perfluorooctanesulfonami 30 11 67-138 98 87 5.08 5.20 4.54 5.20 Pfos-Perfluorooctanesulfonate 30 11 74-134 89 99 4.83 5.44 5.39 5.44 Pfpea-Perfluoropentanoic Acid 30 1 76-127 100 100 5.09 5.10 5.12 5.10 Pfpes-Perfluoropentanesulfonat 30 2 74-135 98 101 5.34 5.44 5.48 5.44 Pfteda-Perfluorotetradecanoic 30 1 61-145 104 104 5.63 5.44 5.68 5.44 Pftrda-Perfluorotridecanoic Ac 30 18 75-146 98 82 5.34 5.44 4.44 5.44 Pfunda-Perfluoroundecanoic Aci Labeled Isotope Quality Control Labeled isotope recoveries which are outside of the QC window are confirmed unless o
2018-12-12__-3859762491865917202__RE_ Voicemail Message.msg.pdf,36,74 90 9903362 93 49 55 170 74 90 9903363 94 92 83 99 89 89 Blank 112 113 103 118 110 110 LCS 89 88 78 99 84 79 LCSD 98 100 89 102 94 88 13C4-PFBA 13C5-PFPeA 13C3-PFBS 13C2-4:2-FTS 13C5-PFHxA 13C3-PFHxS Limits: 33-123 31-157 26-148 21-182 35-138 34-126 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA 9903361 98 199* 100 93 124 95 9903362 96 194* 95 90 113 93 9903363 93 133 95 91 99 98 Blank 114 149 113 115 120 111 *- Outside of specification (1) The result for one or both determinations was less than five times the LOQ. (2) The unspiked result was more than four times the spike added. Page 7 of 12 Page 11 of 21 12/10/2018 1 2 3 4 5 6 7
2018-12-12__-3859762491865917202__RE_ Voicemail Message.msg.pdf,37,orted: 11/29/2018 16:22 Labeled Isotope Quality Control (continued) Labeled isotope recoveries which are outside of the QC window are confirmed unless otherwise noted on the analysis report. Analysis Name: PFAS in Water by LC/MS/MS Batch number: 18321001 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA LCS 89 104 89 90 95 85 LCSD 98 125 99 98 104 97 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA Limits: 35-126 32-170 48-122 50-121 41-144 47-125 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA 9903361 130 106 99 107 88 54 9903362 130 113 90 97 77 69 9903363 126 107 98 88 93 100 Blank 126 152* 110 111 104 106 LCS 99 116 89 90 82 80 LCSD 106 108 92 99 92 93 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-P
2018-12-12__-3859762491865917202__RE_ Voicemail Message.msg.pdf,37,of the QC window are confirmed unless otherwise noted on the analysis report. Analysis Name: PFAS in Water by LC/MS/MS Batch number: 18321001 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA LCS 89 104 89 90 95 85 LCSD 98 125 99 98 104 97 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA Limits: 35-126 32-170 48-122 50-121 41-144 47-125 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA 9903361 130 106 99 107 88 54 9903362 130 113 90 97 77 69 9903363 126 107 98 88 93 100 Blank 126 152* 110 111 104 106 LCS 99 116 89 90 82 80 LCSD 106 108 92 99 92 93 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA Limits: 27-164 30-127 30-128 30-142 39-130 26-119 13C8-PFOSA 9903361 53 9903362 50 9903363 104 Blank 11
2018-12-12__-3859762491865917202__RE_ Voicemail Message.msg.pdf,37,903361 130 106 99 107 88 54 9903362 130 113 90 97 77 69 9903363 126 107 98 88 93 100 Blank 126 152* 110 111 104 106 LCS 99 116 89 90 82 80 LCSD 106 108 92 99 92 93 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA Limits: 27-164 30-127 30-128 30-142 39-130 26-119 13C8-PFOSA 9903361 53 9903362 50 9903363 104 Blank 111 LCS 87 LCSD 95 13C8-PFOSA Limits: 11-127 *- Outside of specification (1) The result for one or both determinations was less than five times the LOQ. (2) The unspiked result was more than four times the spike added. Page 8 of 12 Page 12 of 21 12/10/2018 1 2 3 4 5 6 7
2018-12-12__-3859762491865917202__RE_ Voicemail Message.msg.pdf,37,88 93 100 Blank 126 152* 110 111 104 106 LCS 99 116 89 90 82 80 LCSD 106 108 92 99 92 93 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA Limits: 27-164 30-127 30-128 30-142 39-130 26-119 13C8-PFOSA 9903361 53 9903362 50 9903363 104 Blank 111 LCS 87 LCSD 95 13C8-PFOSA Limits: 11-127 *- Outside of specification (1) The result for one or both determinations was less than five times the LOQ. (2) The unspiked result was more than four times the spike added. Page 8 of 12 Page 12 of 21 12/10/2018 1 2 3 4 5 6 7
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,9,.34 1 14473 Pfhps-Perfluoroheptanesulfonat 375-92-8 N.D. 0.34 1 14473 Pfhxa-Perfluorohexanoic Acid 307-24-4 N.D. 0.34 1 14473 Pfhxs-Perfluorohexanesulfonate 355-46-4 N.D. 0.34 1 14473 Pfna-Perfluorononanoic Acid 375-95-1 N.D. 0.34 1 14473 Pfoa-Perfluorooctanoic Acid 335-67-1 N.D. 0.26 1 14473 Pfosa-Perfluorooctanesulfonami 754-91-6 N.D. 0.43 1 14473 Pfos-Perfluorooctanesulfonate 1763-23-1 1.4 J 0.34 1 14473 Pfpea-Perfluoropentanoic Acid 2706-90-3 N.D. 1.7 1 14473 Pfpes-Perfluoropentanesulfonat 2706-91-4 N.D. 0.34 1 14473 Pfteda-Perfluorotetradecanoic 376-06-7 N.D. 0.26 1 14473 Pftrda-Perfluorotridecanoic Ac 72629-94-8 N.D. 0.34 1 14473 Pfunda-Perfluoroundecanoic Aci 2058-94-8 N.D. 0.34 1 The recovery for labeled compound used as extraction standards is outside of QC acceptance
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,9,.34 1 14473 Pfhxa-Perfluorohexanoic Acid 307-24-4 N.D. 0.34 1 14473 Pfhxs-Perfluorohexanesulfonate 355-46-4 N.D. 0.34 1 14473 Pfna-Perfluorononanoic Acid 375-95-1 N.D. 0.34 1 14473 Pfoa-Perfluorooctanoic Acid 335-67-1 N.D. 0.26 1 14473 Pfosa-Perfluorooctanesulfonami 754-91-6 N.D. 0.43 1 14473 Pfos-Perfluorooctanesulfonate 1763-23-1 1.4 J 0.34 1 14473 Pfpea-Perfluoropentanoic Acid 2706-90-3 N.D. 1.7 1 14473 Pfpes-Perfluoropentanesulfonat 2706-91-4 N.D. 0.34 1 14473 Pfteda-Perfluorotetradecanoic 376-06-7 N.D. 0.26 1 14473 Pftrda-Perfluorotridecanoic Ac 72629-94-8 N.D. 0.34 1 14473 Pfunda-Perfluoroundecanoic Aci 2058-94-8 N.D. 0.34 1 The recovery for labeled compound used as extraction standards is outside of QC acceptance limits in the method blank associated with this sample as
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,10,4473 Pfhps-Perfluoroheptanesulfonat 375-92-8 N.D. 0.50 1 14473 Pfhxa-Perfluorohexanoic Acid 307-24-4 N.D. 0.50 1 14473 Pfhxs-Perfluorohexanesulfonate 355-46-4 N.D. 0.50 1 14473 Pfna-Perfluorononanoic Acid 375-95-1 1.0 J 0.50 1 14473 Pfoa-Perfluorooctanoic Acid 335-67-1 0.94 J 0.37 1 14473 Pfosa-Perfluorooctanesulfonami 754-91-6 N.D. 0.62 1 14473 Pfos-Perfluorooctanesulfonate 1763-23-1 7.1 0.50 1 14473 Pfpea-Perfluoropentanoic Acid 2706-90-3 N.D. 2.5 1 14473 Pfpes-Perfluoropentanesulfonat 2706-91-4 N.D. 0.50 1 14473 Pfteda-Perfluorotetradecanoic 376-06-7 N.D. 0.37 1 14473 Pftrda-Perfluorotridecanoic Ac 72629-94-8 N.D. 0.50 1 14473 Pfunda-Perfluoroundecanoic Aci 2058-94-8 N.D. 0.50 1 The recovery for labeled compound used as extraction standards is outside of QC acceptance limi
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,10,4473 Pfhxa-Perfluorohexanoic Acid 307-24-4 N.D. 0.50 1 14473 Pfhxs-Perfluorohexanesulfonate 355-46-4 N.D. 0.50 1 14473 Pfna-Perfluorononanoic Acid 375-95-1 1.0 J 0.50 1 14473 Pfoa-Perfluorooctanoic Acid 335-67-1 0.94 J 0.37 1 14473 Pfosa-Perfluorooctanesulfonami 754-91-6 N.D. 0.62 1 14473 Pfos-Perfluorooctanesulfonate 1763-23-1 7.1 0.50 1 14473 Pfpea-Perfluoropentanoic Acid 2706-90-3 N.D. 2.5 1 14473 Pfpes-Perfluoropentanesulfonat 2706-91-4 N.D. 0.50 1 14473 Pfteda-Perfluorotetradecanoic 376-06-7 N.D. 0.37 1 14473 Pftrda-Perfluorotridecanoic Ac 72629-94-8 N.D. 0.50 1 14473 Pfunda-Perfluoroundecanoic Aci 2058-94-8 N.D. 0.50 1 The recovery for labeled compound used as extraction standards is outside of QC acceptance limits in the method blank associated with this sample as note
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,12,.37 1 14473 Pfhps-Perfluoroheptanesulfonat 375-92-8 N.D. 0.37 1 14473 Pfhxa-Perfluorohexanoic Acid 307-24-4 N.D. 0.37 1 14473 Pfhxs-Perfluorohexanesulfonate 355-46-4 N.D. 0.37 1 14473 Pfna-Perfluorononanoic Acid 375-95-1 N.D. 0.37 1 14473 Pfoa-Perfluorooctanoic Acid 335-67-1 N.D. 0.27 1 14473 Pfosa-Perfluorooctanesulfonami 754-91-6 N.D. 0.46 1 14473 Pfos-Perfluorooctanesulfonate 1763-23-1 1.8 0.37 1 14473 Pfpea-Perfluoropentanoic Acid 2706-90-3 N.D. 1.8 1 14473 Pfpes-Perfluoropentanesulfonat 2706-91-4 N.D. 0.37 1 14473 Pfteda-Perfluorotetradecanoic 376-06-7 N.D. 0.27 1 14473 Pftrda-Perfluorotridecanoic Ac 72629-94-8 N.D. 0.37 1 14473 Pfunda-Perfluoroundecanoic Aci 2058-94-8 N.D. 0.37 1 The recovery for labeled compound used as extraction standards is outside of QC acceptance limi
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,12,.37 1 14473 Pfhxa-Perfluorohexanoic Acid 307-24-4 N.D. 0.37 1 14473 Pfhxs-Perfluorohexanesulfonate 355-46-4 N.D. 0.37 1 14473 Pfna-Perfluorononanoic Acid 375-95-1 N.D. 0.37 1 14473 Pfoa-Perfluorooctanoic Acid 335-67-1 N.D. 0.27 1 14473 Pfosa-Perfluorooctanesulfonami 754-91-6 N.D. 0.46 1 14473 Pfos-Perfluorooctanesulfonate 1763-23-1 1.8 0.37 1 14473 Pfpea-Perfluoropentanoic Acid 2706-90-3 N.D. 1.8 1 14473 Pfpes-Perfluoropentanesulfonat 2706-91-4 N.D. 0.37 1 14473 Pfteda-Perfluorotetradecanoic 376-06-7 N.D. 0.27 1 14473 Pftrda-Perfluorotridecanoic Ac 72629-94-8 N.D. 0.37 1 14473 Pfunda-Perfluoroundecanoic Aci 2058-94-8 N.D. 0.37 1 The recovery for labeled compound used as extraction standards is outside of QC acceptance limits in the method blank associated with this sample as note
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,13,.38 1 14473 Pfhps-Perfluoroheptanesulfonat 375-92-8 N.D. 0.38 1 14473 Pfhxa-Perfluorohexanoic Acid 307-24-4 N.D. 0.38 1 14473 Pfhxs-Perfluorohexanesulfonate 355-46-4 N.D. 0.38 1 14473 Pfna-Perfluorononanoic Acid 375-95-1 N.D. 0.38 1 14473 Pfoa-Perfluorooctanoic Acid 335-67-1 N.D. 0.28 1 14473 Pfosa-Perfluorooctanesulfonami 754-91-6 N.D. 0.47 1 14473 Pfos-Perfluorooctanesulfonate 1763-23-1 N.D. 0.38 1 14473 Pfpea-Perfluoropentanoic Acid 2706-90-3 N.D. 1.9 1 14473 Pfpes-Perfluoropentanesulfonat 2706-91-4 N.D. 0.38 1 14473 Pfteda-Perfluorotetradecanoic 376-06-7 N.D. 0.28 1 14473 Pftrda-Perfluorotridecanoic Ac 72629-94-8 N.D. 0.38 1 14473 Pfunda-Perfluoroundecanoic Aci 2058-94-8 N.D. 0.38 1 The recovery for labeled compound used as extraction standards is outside of QC acceptance lim
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,13,.38 1 14473 Pfhxa-Perfluorohexanoic Acid 307-24-4 N.D. 0.38 1 14473 Pfhxs-Perfluorohexanesulfonate 355-46-4 N.D. 0.38 1 14473 Pfna-Perfluorononanoic Acid 375-95-1 N.D. 0.38 1 14473 Pfoa-Perfluorooctanoic Acid 335-67-1 N.D. 0.28 1 14473 Pfosa-Perfluorooctanesulfonami 754-91-6 N.D. 0.47 1 14473 Pfos-Perfluorooctanesulfonate 1763-23-1 N.D. 0.38 1 14473 Pfpea-Perfluoropentanoic Acid 2706-90-3 N.D. 1.9 1 14473 Pfpes-Perfluoropentanesulfonat 2706-91-4 N.D. 0.38 1 14473 Pfteda-Perfluorotetradecanoic 376-06-7 N.D. 0.28 1 14473 Pftrda-Perfluorotridecanoic Ac 72629-94-8 N.D. 0.38 1 14473 Pfunda-Perfluoroundecanoic Aci 2058-94-8 N.D. 0.38 1 The recovery for labeled compound used as extraction standards is outside of QC acceptance limits in the method blank associated with this sample as not
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,14,noic 0.60 N.D. Pfds-Perfluorodecanesulfonate 0.40 N.D. Pfhpa-Perfluoroheptanoic Acid 0.40 N.D. Pfhps-Perfluoroheptanesulfonat 0.40 N.D. Pfhxa-Perfluorohexanoic Acid 0.40 N.D. Pfhxs-Perfluorohexanesulfonate 0.40 N.D. Pfna-Perfluorononanoic Acid 0.30 N.D. Pfoa-Perfluorooctanoic Acid 0.50 N.D. Pfosa-Perfluorooctanesulfonami 0.40 N.D. Pfos-Perfluorooctanesulfonate 2.0 N.D. Pfpea-Perfluoropentanoic Acid 0.40 N.D. Pfpes-Perfluoropentanesulfonat 0.30 N.D. Pfteda-Perfluorotetradecanoic 0.40 N.D. Pftrda-Perfluorotridecanoic Ac 0.40 N.D. Pfunda-Perfluoroundecanoic Aci LCS/LCSD RPD Max LCS/LCSD Limits LCSD %REC LCS %REC LCSD Conc LCSD Spike Added LCS Conc LCS Spike Added RPD Analysis Name ng/l ng/l ng/l ng/l Batch number: 18321001 Sample number(s): 9903347-9903350 30 4 82-152
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,14,ate 0.40 N.D. Pfhpa-Perfluoroheptanoic Acid 0.40 N.D. Pfhps-Perfluoroheptanesulfonat 0.40 N.D. Pfhxa-Perfluorohexanoic Acid 0.40 N.D. Pfhxs-Perfluorohexanesulfonate 0.40 N.D. Pfna-Perfluorononanoic Acid 0.30 N.D. Pfoa-Perfluorooctanoic Acid 0.50 N.D. Pfosa-Perfluorooctanesulfonami 0.40 N.D. Pfos-Perfluorooctanesulfonate 2.0 N.D. Pfpea-Perfluoropentanoic Acid 0.40 N.D. Pfpes-Perfluoropentanesulfonat 0.30 N.D. Pfteda-Perfluorotetradecanoic 0.40 N.D. Pftrda-Perfluorotridecanoic Ac 0.40 N.D. Pfunda-Perfluoroundecanoic Aci LCS/LCSD RPD Max LCS/LCSD Limits LCSD %REC LCS %REC LCSD Conc LCSD Spike Added LCS Conc LCS Spike Added RPD Analysis Name ng/l ng/l ng/l ng/l Batch number: 18321001 Sample number(s): 9903347-9903350 30 4 82-152 89 86 13.35 14.94 12.84 14.94 4:2 fluorot
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,15,2 99 5.01 5.44 5.40 5.44 Pfhxa-Perfluorohexanoic Acid 30 4 71-131 100 95 5.12 5.14 4.91 5.14 Pfhxs-Perfluorohexanesulfonate 30 2 72-148 91 89 4.94 5.44 4.84 5.44 Pfna-Perfluorononanoic Acid 30 3 72-138 103 106 5.58 5.44 5.75 5.44 Pfoa-Perfluorooctanoic Acid 30 1 65-164 85 85 4.65 5.44 4.60 5.44 Pfosa-Perfluorooctanesulfonami 30 11 67-138 98 87 5.08 5.20 4.54 5.20 Pfos-Perfluorooctanesulfonate 30 11 74-134 89 99 4.83 5.44 5.39 5.44 Pfpea-Perfluoropentanoic Acid 30 1 76-127 100 100 5.09 5.10 5.12 5.10 Pfpes-Perfluoropentanesulfonat 30 2 74-135 98 101 5.34 5.44 5.48 5.44 Pfteda-Perfluorotetradecanoic 30 1 61-145 104 104 5.63 5.44 5.68 5.44 Pftrda-Perfluorotridecanoic Ac 30 18 75-146 98 82 5.34 5.44 4.44 5.44 Pfunda-Perfluoroundecanoic Aci Labeled Isotope Quality Control Labeled isotop
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,15,95 5.12 5.14 4.91 5.14 Pfhxs-Perfluorohexanesulfonate 30 2 72-148 91 89 4.94 5.44 4.84 5.44 Pfna-Perfluorononanoic Acid 30 3 72-138 103 106 5.58 5.44 5.75 5.44 Pfoa-Perfluorooctanoic Acid 30 1 65-164 85 85 4.65 5.44 4.60 5.44 Pfosa-Perfluorooctanesulfonami 30 11 67-138 98 87 5.08 5.20 4.54 5.20 Pfos-Perfluorooctanesulfonate 30 11 74-134 89 99 4.83 5.44 5.39 5.44 Pfpea-Perfluoropentanoic Acid 30 1 76-127 100 100 5.09 5.10 5.12 5.10 Pfpes-Perfluoropentanesulfonat 30 2 74-135 98 101 5.34 5.44 5.48 5.44 Pfteda-Perfluorotetradecanoic 30 1 61-145 104 104 5.63 5.44 5.68 5.44 Pftrda-Perfluorotridecanoic Ac 30 18 75-146 98 82 5.34 5.44 4.44 5.44 Pfunda-Perfluoroundecanoic Aci Labeled Isotope Quality Control Labeled isotope recoveries which are outside of the QC window are confirmed unless o
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,15,6* 79 9903349 90 81 81 105 90 89 9903350 98 87 88 129 99 97 Blank 112 113 103 118 110 110 LCS 89 88 78 99 84 79 LCSD 98 100 89 102 94 88 13C4-PFBA 13C5-PFPeA 13C3-PFBS 13C2-4:2-FTS 13C5-PFHxA 13C3-PFHxS Limits: 33-123 31-157 26-148 21-182 35-138 34-126 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA 9903347 93 118 96 90 98 90 9903348 78 374* 82 77 98 80 9903349 90 145 91 90 93 89 *- Outside of specification (1) The result for one or both determinations was less than five times the LOQ. (2) The unspiked result was more than four times the spike added. Page 9 of 14 Page 13 of 22 12/10/2018 1 2 3 4 5 6 7
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,16,orted: 11/29/2018 15:45 Labeled Isotope Quality Control (continued) Labeled isotope recoveries which are outside of the QC window are confirmed unless otherwise noted on the analysis report. Analysis Name: PFAS in Water by LC/MS/MS Batch number: 18321001 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA 9903350 103 138 99 95 106 90 Blank 114 149 113 115 120 111 LCS 89 104 89 90 95 85 LCSD 98 125 99 98 104 97 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA Limits: 35-126 32-170 48-122 50-121 41-144 47-125 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA 9903347 99 109 90 89 88 94 9903348 298* 145* 117 137 135* 153* 9903349 113 112 92 97 100 97 9903350 109 99 95 95 104 96 Blank 126 152* 110 111 104 106 LCS 99 116 89 90 82 8
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,16,analysis report. Analysis Name: PFAS in Water by LC/MS/MS Batch number: 18321001 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA 9903350 103 138 99 95 106 90 Blank 114 149 113 115 120 111 LCS 89 104 89 90 95 85 LCSD 98 125 99 98 104 97 13C4-PFHpA 13C2-6:2-FTS 13C8-PFOA 13C8-PFOS 13C9-PFNA 13C6-PFDA Limits: 35-126 32-170 48-122 50-121 41-144 47-125 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA 9903347 99 109 90 89 88 94 9903348 298* 145* 117 137 135* 153* 9903349 113 112 92 97 100 97 9903350 109 99 95 95 104 96 Blank 126 152* 110 111 104 106 LCS 99 116 89 90 82 80 LCSD 106 108 92 99 92 93 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA Limits: 27-164 30-127 30-128 30-142 39-130 26-119 13C8-PFOSA 9903347 99
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,16,298* 145* 117 137 135* 153* 9903349 113 112 92 97 100 97 9903350 109 99 95 95 104 96 Blank 126 152* 110 111 104 106 LCS 99 116 89 90 82 80 LCSD 106 108 92 99 92 93 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA Limits: 27-164 30-127 30-128 30-142 39-130 26-119 13C8-PFOSA 9903347 99 9903348 77 9903349 95 9903350 94 Blank 111 LCS 87 LCSD 95 13C8-PFOSA Limits: 11-127 *- Outside of specification (1) The result for one or both determinations was less than five times the LOQ. (2) The unspiked result was more than four times the spike added. Page 10 of 14 Page 14 of 22 12/10/2018 1 2 3 4 5 6 7
2018-12-12__-6300108423290621305__Cadillac_PFAS RE_ Voicemail Message.msg.pdf,16,Blank 126 152* 110 111 104 106 LCS 99 116 89 90 82 80 LCSD 106 108 92 99 92 93 13C2-8:2-FTS d3-NMeFOSAA 13C7-PFUnDA d5-NEtFOSAA 13C2-PFDoDA 13C2-PFTeDA Limits: 27-164 30-127 30-128 30-142 39-130 26-119 13C8-PFOSA 9903347 99 9903348 77 9903349 95 9903350 94 Blank 111 LCS 87 LCSD 95 13C8-PFOSA Limits: 11-127 *- Outside of specification (1) The result for one or both determinations was less than five times the LOQ. (2) The unspiked result was more than four times the spike added. Page 10 of 14 Page 14 of 22 12/10/2018 1 2 3 4 5 6 7
